(0, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), 2, -10.0, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), False)
(1, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), 4, -10.0, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), False)
(2, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), 3, -10.0, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), False)
(3, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), 3, -10.0, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), False)
(4, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), 2, -10.0, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), False)
(5, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), 3, -10.0, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), False)
(6, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), 2, -10.0, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), False)
(7, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), 4, -10.0, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), False)
(8, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  1,  0,  1]]), 5, 0, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  1,  0,  0,  0]]), False)
(9, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  1,  0,  0,  0]]), 1, -10.0, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  1,  0,  0,  0]]), False)
(10, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  1,  0,  0,  0]]), 4, 0, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  0,  0,  0]]), False)
(11, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  0,  0,  0]]), 1, -10.0, array([[ 6, 21, 21,  0,  0, 35, 30,  0,  0, 16,  0,  0,  0,  0]]), False)
